date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-07-31,TAIEX,7079439551,412096428336,23523.59,23631.11,23454.44,23542.52,80.8,2784711
2025-08-01,TAIEX,6950284768,404788588802,23318.37,23484.21,23168.27,23434.38,-108.14,2763182
2025-08-04,TAIEX,6547254437,339596557905,23260.18,23378.94,23151.65,23378.94,-55.44,2625345
2025-08-05,TAIEX,6610002920,380074357026,23498.4,23671.84,23498.4,23660.59,281.65,2692247
2025-08-06,TAIEX,6009196963,361183155977,23443.36,23557.49,23433.53,23447.36,-213.23,2656062
2025-08-07,TAIEX,7106666762,467380441728,23717.35,24050.54,23717.35,24003.77,556.41,3040546
2025-08-08,TAIEX,7010275195,432109965420,24026.65,24131.46,23967.99,24021.26,17.49,2993172
2025-08-11,TAIEX,7230198655,437210225957,23980.39,24249.05,23887.25,24135.5,114.24,3128381
2025-08-12,TAIEX,7513604403,430747663190,24182.84,24263.92,24065.43,24158.36,22.86,3084639
2025-08-13,TAIEX,8864976375,573873489672,24232.04,24406.94,24172.19,24370.02,211.66,3774478
2025-08-14,TAIEX,7941972349,486603622585,24258.5,24389.51,24198.88,24238.1,-131.92,3315382
2025-08-15,TAIEX,7913302231,454217776031,24266.23,24385.56,24164.43,24334.48,96.38,3456133
2025-08-18,TAIEX,8459665044,457868280041,24272.55,24515.65,24257.3,24482.52,148.04,3623467
2025-08-19,TAIEX,8279842992,477889208524,24493.92,24551.42,24324.29,24353.5,-129.02,3599780
2025-08-20,TAIEX,8611743600,572237896405,24309.27,24309.27,23620.24,23625.44,-728.06,4440609
2025-08-21,TAIEX,6990398614,420673855060,23739.83,24011.5,23739.83,23962.13,336.69,2970148
2025-08-22,TAIEX,6571719689,369732364563,24033.02,24071.65,23764.47,23764.47,-197.66,2924150
2025-08-25,TAIEX,7201907890,431825644540,24108.81,24362.02,24108.75,24277.38,512.91,3018636
2025-08-26,TAIEX,8259451660,532063118603,24237.36,24382.42,24113.03,24305.1,27.72,3221950
2025-08-27,TAIEX,7675360712,467302614203,24449.81,24539.88,24410.08,24519.9,214.8,3273312
2025-08-28,TAIEX,7619400963,449197099212,24468.12,24502.37,24236.45,24236.45,-283.45,3361480
2025-08-29,TAIEX,7716714041,478348167874,24438.03,24570.15,24233.1,24233.1,-3.35,3386334
